Genes	Proteins	N duplicates	Score	Raw DMSO	Raw 3nM	Raw 10nM	Raw 30nM	Raw 100nM	Raw 300nM	Raw 1000nM	Raw 3000nM	Raw 30000nM	Peptides	Name	Imputation N	Imputation Position	Ratio DMSO	Ratio 3nM	Ratio 10nM	Ratio 30nM	Ratio 100nM	Ratio 300nM	Ratio 1000nM	Ratio 3000nM	Ratio 30000nM	Signal Quality	pEC50	Curve Slope	Curve Front	Curve Back	Curve Fold Change	Curve AUC	Curve R2	pEC50 Error	Curve Slope Error	Curve Front Error	Curve Back Error	Null Model	Null RMSE	Curve F_Value	Curve P_Value	Curve Log P_Value	Curve F_Value SAM Corrected	Curve Relevance Score	Curve Regulation
ACTB;ACTG1	P60709;P63261;A5A3E0;P0CG38;P0CG39;Q9BYX7	1	323.31	456870000	364250000	314670000	415990000	545180000	503980000	399320000	388260000	566220000	34	ACTB;ACTG1	0		1.0	0.7972727471709676	0.6887517236850745	0.9105215925755685	1.1932934970560554	1.1031146715695932	0.8740341891566529	0.8498259898877142	1.2393459846345787	28.76720847134936	7.520216607345344	9.961901701686116	0.7876486039559807	1.0414205817654651	0.4029287798522254	0.9778086933105687	0.8068816358089852	12.285134067121867	46039.946108302545	0.13204202568413537	0.0881559988308743	0.9630516844549283	0.16627576576284614	1.100152043464575	0.5072262339350389	0.29479829266853746	0.37831128112212015	0.036945068738229864	
ACTL6A	O96019;O94805	1	19.543	6997400	6219600	5242000	5795800	5698200	1529143	6195700	1529143	6785200	8	ACTL6A	0		1.0	0.8888444279303741	0.7491353931460256	0.8282790750850316	0.8143310372424043	0.21853016834824363	0.885428873581616	0.21853016834824363	0.9696744505101895	22.73838753368257	6.913320100986721	10.0	0.8375193345623974	0.570221261945281	-0.5546006618807899	0.6777792427912568	0.25603240178646014	90.19080250676542	10402.994265698722	0.16482366141234026	0.1903193259388192	0.691430998546713	0.24676349356056995	0.7882708062581729	0.6650804001627508	0.17712585058200872	0.38346971531555596	0.03833121100172386	
ACTN1	P12814	1	155.19	11004000	7795900	4989700	9216900	12825000	9979000	7068300	5458600	13681000	42	ACTN1	0		1.0	0.7084605597964376	0.45344420210832426	0.8375954198473282	1.165485278080698	0.9068520537986187	0.6423391494002181	0.4960559796437659	1.2432751726644857	23.3915247089783	4.818855302828047	4.077542931609476	0.7607959296038493	1.2706931519764322	0.7057782439666451	0.7993434263498642	0.48088146818319555	6958.867650305553	37068.8796405247	0.12002352792912012	2701.3326069967407	0.812461028157593	0.24176553432626938	1.0141861930626996	0.5462950738927396	0.26257271563194173	0.5274867195137609	0.08262247768592355	
ACTN4	O43707;Q08043	1	323.31	51105000	43737000	27935000	39201000	62271000	55098000	41103000	32570000	77542000	53	ACTN4	0		1.0	0.8558262400939243	0.5466197045298894	0.7670678015849721	1.2184913413560317	1.0781332550631053	0.8042852949809216	0.6373153311809021	1.517307504158106	25.606961112366953	4.8739285839294375	3.4759720655097763	0.8562361109397145	1.5482678341740619	0.8174730821870815	0.9182345960065872	0.6182753550338065	636.9330382439612	3126.1500888625656	0.10973684345536217	299.7148487474287	0.9324305916175596	0.2667675763048474	2.3797510447596024	0.1932265120964185	0.7139332854400103	1.0419187497627653	0.2730030443322222	
ACVR1	Q04771	1	89.528	19106000	29168000	34020000	26380000	24582000	25209000	25838000	30483000	15802000	13	ACVR1	0		1.0	1.5266408458075997	1.7805924840364284	1.3807180990264838	1.2866115356432535	1.3194284517952475	1.3523500471056213	1.5954673924421647	0.8270700303569559	24.18752243393445	4.894552337884474	3.2702685780602523	1.4357371161084738	0.7993689261385856	-0.7804032480009164	1.375358043126438	0.7090391701014199	375.91829993660815	1786.2889461717323	0.11485012276635127	159.21448291451685	1.3635507170522347	0.24219572998465078	1.6861698155264642	0.3149045495270323	0.5018210649264521	0.8010695733979002	0.18195231340953674	
ACVR1B	P36896	1	136.65	6198400	8859300	11611000	10645000	8986200	8399900	11429000	13077000	1529143	13	ACVR1B	0		1.0	1.4292882034073309	1.8732253484770263	1.7173786783686114	1.4497612287041817	1.3551723025296851	1.8438629323696438	2.1097379969024264	0.24669963216313887	22.56346442837798	4.873911741398725	3.4848529763713807	1.6455354957547907	0.1818877595296343	-2.6373525492566827	1.5144398023928725	0.3741266953781902	489.1508298847663	2408.318046593261	0.17470265411749641	484.91463542862647	1.4843777953864026	0.4765112202194376	3.992844430253703	0.0795746050425022	1.0992255082619395	2.7485585315401124	0.8136954670469873	
ACVR2B	Q13705	1	80.874	1529143	12268000	1529143	1529143	9810200	1529143	12143000	10984000	1529143	9	ACVR2B	0		1.0	8.022794467227722	1.0	1.0	6.415488937267476	1.0	7.94104933286161	7.183108447019016	1.0	20.544291898026863	4.78206259799795	5.5641878085608925	4.390598106031869	0.8795095865656111	-2.1316249688412072	4.160662172135617	0.0	956773.6478682689	6853385.137876751	1.670880039292267	2001481.8359791385	4.052270567943562	2.797238601871732	0.2466476170453049	0.979829550656544	0.008849466805033897	0.21822663228937808	0.005105032758786399	
ADAR	P55265	1	57.425	11999000	14201000	13464000	12101000	12789000	12281000	12479000	12573000	14644000	20	ADAR	0		1.0	1.1835152929410784	1.122093507792316	1.008500708392366	1.0658388199016584	1.0235019584965415	1.0400033336111343	1.047837319776648	1.2204350362530212	23.516410840448952	4.949650853983365	2.8887200701111233	1.0648588702799309	1.2264291124856788	0.19325865746864762	1.0824425519936949	0.9745112358531899	107.55039452910708	492.27947872188935	0.030625803787650455	10.707500884852918	1.0846721201125735	0.06716040685650307	1.84204456365805	0.28019349238672364	0.5525419556075466	0.21861056579044677	0.005149009337822516	not
ADCK1	Q86TW2	1	102.73	26085000	30881000	34420000	30906000	25475000	27116000	33594000	32525000	19151000	19	ADCK1	0		1.0	1.1838604562008817	1.3195322982557025	1.184818861414606	0.9766149127851256	1.0395246310139927	1.2878665899942496	1.2468851830553958	0.7341767299214108	24.636717097577193	4.923159082655778	3.1634323376835844	1.1659621286659898	0.719154440299243	-0.6518094727107389	1.1204410960479505	0.8862131433472553	184.8246793274954	895.4716847042355	0.06535557221065846	49.856117633625004	1.1131493195322983	0.1647111699016879	2.7753864484166733	0.15113271484572435	0.8206415162095255	0.9688725789190729	0.24547419563416006	
ADCK3	Q8NI60	1	198.18	7107200	10042000	9557400	10363000	10126000	10672000	14161000	14693000	9587200	14	ADCK3	0		1.0	1.4129333633498424	1.3447489869428186	1.4580988293561459	1.42475236380009	1.5015758667266996	1.992486492570914	2.067340162089149	1.3489419180549302	22.760849867321706	6.45594059296535	5.444837831475382	1.3806595317383112	1.7958150883805166	0.37928120884256694	1.5812898735883822	0.6893085208109254	2.7060996247931275	217.50906623216108	0.1386672329839243	0.21319303536957454	1.5649222456966716	0.27446383184137757	2.1157143145356296	0.2305610535595974	0.6372140519964543	0.5088529917743744	0.07640412612792874	
